x_coordinate,y_coordinate,Cell_Type,TCN_Label
-2957.803784,3783.763261,196 PAG-PPN Pax5 Sox21 Gaba,8
-2956.031492,3775.322121,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2952.543845,3680.039797,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2954.08651,3761.858226,073 MEA-BST Sox6 Gaba,8
-2942.573152,3693.19986,049 Lamp5 Gaba,8
-2941.283159,3717.880191,068 LSX Otx2 Gaba,8
-2924.320106,3734.206804,199 PAG-MRN-RN Foxa2 Gaba,8
-2921.232651,3631.858571,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2919.326575,3728.357165,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2913.795332,3800.562161,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2909.649584,3791.267113,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2909.524406,3755.134083,199 PAG-MRN-RN Foxa2 Gaba,8
-2906.182309,3651.975769,199 PAG-MRN-RN Foxa2 Gaba,1
-2901.731239,3633.238113,073 MEA-BST Sox6 Gaba,1
-2895.80512,3708.918575,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2893.783563,3632.57759,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2890.973304,3768.354363,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2885.738418,3656.499904,199 PAG-MRN-RN Foxa2 Gaba,1
-2864.678655,3647.152794,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2860.26603,3794.894621,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2852.149726,3620.936713,199 PAG-MRN-RN Foxa2 Gaba,1
-2847.813849,3804.514555,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2998.677808,3680.668377,128 VMH Fezf1 Glut,1
-2970.444289,3759.101101,196 PAG-PPN Pax5 Sox21 Gaba,8
-2962.886976,3789.219089,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2929.019032,3782.323564,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2906.421588,3745.2347,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,8
-2873.269441,3727.668191,199 PAG-MRN-RN Foxa2 Gaba,8
-2867.465451,3732.946113,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2987.408398,3692.429839,196 PAG-PPN Pax5 Sox21 Gaba,1
-2966.479346,3696.190391,199 PAG-MRN-RN Foxa2 Gaba,1
-2944.604081,3798.948549,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2944.827091,3738.139051,199 PAG-MRN-RN Foxa2 Gaba,8
-2919.844901,3672.836715,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2876.979092,3641.318865,199 PAG-MRN-RN Foxa2 Gaba,1
-2850.814092,3626.193626,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2850.813103,3806.51168,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2980.720269,3739.919126,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2889.205406,3758.963368,049 Lamp5 Gaba,8
-2870.153308,3676.155387,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2859.890433,3621.977629,068 LSX Otx2 Gaba,1
-3016.951076,3681.523015,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2959.645375,3658.25377,196 PAG-PPN Pax5 Sox21 Gaba,1
-2947.096655,3711.356376,199 PAG-MRN-RN Foxa2 Gaba,8
-2926.07897,3766.209078,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2869.330844,3668.590455,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2865.023294,3772.357728,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3025.732277,3851.931896,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3019.833327,3869.226631,073 MEA-BST Sox6 Gaba,8
-3009.277568,3996.527,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-3007.132576,3897.451682,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3005.473043,3906.043529,199 PAG-MRN-RN Foxa2 Gaba,8
-2992.251031,3849.979918,199 PAG-MRN-RN Foxa2 Gaba,8
-2990.722622,3886.885231,199 PAG-MRN-RN Foxa2 Gaba,8
-2987.253505,3915.733659,196 PAG-PPN Pax5 Sox21 Gaba,8
-2986.096803,4002.011758,106 PVpo-VMPO-MPN Hmx2 Gaba,2
